country,country_name,act,act_short,act_en,act_url,authority,authority_en,penalty_type,penalty_max,currency,penalty_summary,information_where,microenterprise_exemption,verified
AT,Austria,Bundesgesetz über Barrierefreiheitsanforderungen für Produkte und Dienstleistungen (Barrierefreiheitsgesetz – BaFG),BaFG (BGBl. I Nr. 76/2023),Federal Act on accessibility requirements for products and services (Accessibility Act – BaFG),https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20012316,Bundesamt für Soziales und Behindertenwesen (Sozialministeriumservice),Federal Office for Social Affairs and Disability (Sozialministeriumservice),administrative fine (Verwaltungsübertretung),80000,EUR,"Offering or providing a service contrary to § 14(1) is punishable by up to EUR 80,000 (up to EUR 50,000 for SMEs); failing to draw up the Annex 3 information up to EUR 40,000 (EUR 25,000 for SMEs); failing to provide/keep the information, notify non-conformity or cooperate up to EUR 16,000.",general terms and conditions or a similar document,§ 6(1) BaFG (microenterprises offering or providing services are exempt from the § 4(3) requirements and all related obligations); definition § 3 Z 19,2026-09-25
BE,Belgium,"Loi du 5 novembre 2023 modifiant plusieurs livres du Code de droit économique et la loi du 2 août 2002 relative à la surveillance du secteur financier et aux services financiers en vue de la transposition partielle de la directive (UE) 2019/882 du Parlement européen et du Conseil du 17 avril 2019 relative aux exigences en matière d'accessibilité applicables aux produits et services, pour ce qui concerne certains services",Act of 5 Nov 2023 (CDE art. VIII.58–66),"Act of 5 November 2023 amending several books of the Code of Economic Law and the Act of 2 August 2002 on the supervision of the financial sector and financial services, for the partial transposition of Directive (EU) 2019/882 on accessibility requirements for products and services, as regards certain services",https://www.ejustice.just.fgov.be/eli/loi/2023/11/05/2023046827/justel,"SPF Economie, P.M.E., Classes moyennes et Énergie – Direction générale de l'Inspection économique","FPS Economy, SMEs, Self-employed and Energy – Directorate-General Economic Inspection","criminal fine (sanction de niveau 2 / niveau 3), may be settled by administrative fine",25000,EUR,"Breaches of art. VIII.59–VIII.62 (accessibility requirements, information, conformity procedures, disproportionate-burden assessment) are punished with a level-2 sanction (EUR 26–10,000 or 4% of annual turnover if higher), or level 3 in bad faith (EUR 26–25,000 or 6% of annual turnover if higher); the court may add corrective measures.",,"Art. 40 of the Act of 5 November 2023: undertakings with fewer than 10 employees and annual turnover or balance sheet total ≤ EUR 2,000,000 are excluded from the Act until 28 June 2030 (temporary); CDE art. VIII.59 §2 allows the King to exclude micro-enterprises from some or all requirements",2026-09-25
CY,Cyprus,"Ο περί της Προσβασιμότητας Προϊόντων και Υπηρεσιών Νόμος του 2024, Ν. 57(Ι)/2024",L. 57(I)/2024,"Accessibility of Products and Services Law of 2024, L. 57(I)/2024",https://www.cylaw.org/nomoi/enop/non-ind/2024_1_57/full.html,Υφυπουργός Κοινωνικής Πρόνοιας,Deputy Minister of Social Welfare,administrative fine; also a criminal offence,20000,EUR,"Administrative fine up to EUR 10,000 (EUR 20,000 for a repeat breach) plus up to EUR 500 per day while it continues; as a criminal offence up to EUR 20,000 and/or 2 years (repeat: EUR 30,000 and/or 3 years).",general terms or equivalent document,art. 5(5),2026-09-25
CZ,Czechia,"Zákon č. 424/2023 Sb., o požadavcích na přístupnost některých výrobků a služeb",Act No. 424/2023 Coll.,Act No. 424/2023 Coll. on accessibility requirements for certain products and services,https://e-sbirka.gov.cz/sb/2023/424,Česká obchodní inspekce (ČOI),Czech Trade Inspection Authority,administrative fine (offence),10000000,CZK,"Up to CZK 10,000,000 for a service that does not meet the requirements, is not fixed, or ignores ordered measures; lower caps (CZK 5M / 2M / 1M) for other service offences, CZK 1M for not publishing the § 14 information.",general terms or equivalent document (also in audio form on request),§ 2(3)(a); definition § 3(1)(p),2026-09-25
DK,Denmark,Lov nr. 801 af 7. juni 2022 om tilgængelighedskrav for produkter og tjenester,Act No. 801 of 7 June 2022,Act No. 801 of 7 June 2022 on accessibility requirements for products and services,https://www.retsinformation.dk/eli/lta/2022/801,Sikkerhedsstyrelsen,Danish Safety Technology Authority,criminal fine,,DKK,"Breaches, including the service provider's information duty, are punishable by a fine set by the courts; companies can be held liable. The act sets no amount.","general terms or equivalent document, in writing and orally",§ 6(3),2026-09-25
FI,Finland,"Laki digitaalisten palvelujen tarjoamisesta (306/2019), 3 a luku","Act 306/2019, ch. 3 a","Act on the Provision of Digital Services (306/2019), chapter 3 a, added by Act 104/2023",https://www.finlex.fi/fi/lainsaadanto/2019/306,Liikenne- ja viestintävirasto Traficom,Finnish Transport and Communications Agency,periodic penalty only,,EUR,No fines: Traficom can order the service to be fixed within a reasonable time and back the order with a conditional fine (uhkasakko).,stand-alone accessibility statement (saavutettavuusseloste); feedback answered within 2 weeks,§ 10 b,2026-09-25
FR,France,"LOI n° 2023-171 du 9 mars 2023 portant diverses dispositions d'adaptation au droit de l'Union européenne dans les domaines de l'économie, de la santé, du travail, des transports et de l'agriculture (art. 16)","Law No. 2023-171, art. 16 (Consumer Code L. 412-13)","Law No. 2023-171 of 9 March 2023 laying down various provisions adapting to European Union law in the fields of the economy, health, labour, transport and agriculture (Article 16)",https://www.legifrance.gouv.fr/loda/id/JORFTEXT000047281777,"Direction générale de la concurrence, de la consommation et de la répression des fraudes (DGCCRF)","Directorate-General for Competition Policy, Consumer Affairs and Fraud Control","contravention (criminal fine, 5th class)",7500,EUR,"Each failure by a service provider (non-compliant service, missing/unpublished accessibility information, not informing authorities, not providing compliance information on request) is a 5th-class contravention: up to EUR 1,500 for a natural person and EUR 7,500 for a legal person per offence; repeat offences up to EUR 3,000 / EUR 15,000.",general terms or equivalent document,"Code de la consommation art. L. 412-13 I, last paragraph (fewer than 10 persons and turnover or balance sheet ≤ EUR 2 million: exempt from the requirements and all related obligations)",2026-09-25
DE,Germany,Gesetz zur Umsetzung der Richtlinie (EU) 2019/882 des Europäischen Parlaments und des Rates über die Barrierefreiheitsanforderungen für Produkte und Dienstleistungen (Barrierefreiheitsstärkungsgesetz – BFSG),BFSG (BGBl. I 2021 S. 2970),Act implementing Directive (EU) 2019/882 of the European Parliament and of the Council on the accessibility requirements for products and services (Accessibility Strengthening Act – BFSG),https://www.gesetze-im-internet.de/bfsg/,"Marktüberwachungsstelle der Länder für die Barrierefreiheit von Produkten und Dienstleistungen (MLBF AöR), Magdeburg","Market Surveillance Authority of the Länder for the Accessibility of Products and Services (MLBF), Magdeburg",administrative fine (Ordnungswidrigkeit),100000,EUR,"Offering or providing an e-commerce service contrary to § 14(1) (not meeting the BFSGV requirements, or without the Annex 3 information made accessible to the public) is a regulatory offence punishable by a fine of up to EUR 100,000; other service-provider offences (e.g. failing to notify non-conformity under § 14(4) or to give information to the authority under § 14(5)) up to EUR 10,000.",general terms and conditions (Allgemeine Geschäftsbedingungen) or in another clearly perceptible manner,§ 3(3) BFSG (requirements of § 3(1) do not apply to microenterprises offering or providing services); definition § 2 Nr. 17 BFSG (<10 persons and annual turnover or balance sheet total ≤ EUR 2 million),2026-09-25
GR,Greece,Νόμος 4994/2022 — Ενσωμάτωση της Οδηγίας (ΕΕ) 2019/882,Law 4994/2022,Law 4994/2022 transposing Directive (EU) 2019/882,https://eur-lex.europa.eu/legal-content/EL/TXT/PDF/?uri=CELEX:72019L0882GRC_202207302,,,administrative sanctions,,EUR,Administrative sanctions under the principle of proportionality; the act sets no amount for services (amounts are delegated to a presidential decree for products only).,general terms or equivalent document,art. 5(4),2026-09-25
HU,Hungary,2022. évi XVII. törvény a termékekre és a szolgáltatásokra vonatkozó akadálymentességi követelményeknek való megfelelés általános szabályairól (Aktv.),Act XVII of 2022 (Aktv.),Act XVII of 2022 on the general rules for compliance with accessibility requirements for products and services,https://njt.hu/jogszabaly/2022-17-00-00,fogyasztóvédelmi hatóság (fővárosi és vármegyei kormányhivatalok),consumer protection authority (Budapest and county government offices),administrative fine after a warning,500000000,HUF,"The authority first warns and agrees a deadline; a fine follows only if the business does not cooperate or fix. From HUF 15,000; up to HUF 500,000 for most businesses; for large non-SME businesses above HUF 100M turnover up to 5% of turnover, max HUF 500M.",general terms or equivalent document,Aktv. 3. § (3),2026-09-25
